"AOI","Light","Temp","Time","Cell","Species","final","initial","post"
"13","L","30","30","C3","Euc","0.843","0.81","0.807"
"13","M","30","60","C3","Euc","0.8","0.817","0.747"
"13","M","58","5","C3","Euc","0","0.797","0"
"13","N","52","60","C3","Euc","0.204","0.85","0.417"
"13","M","44","60","C3","Euc","0.396","0.874","0"
"13","M","30","5","C3","Euc","0.824","0.846","0.834"
"13","L","44","15","C3","Euc","0.702","0.803","0.607"
"13","N","30","15","C3","Euc","0.831","0.84","0.834"
"13","M","40","60","C3","Euc","0.77","0.863","0.552"
"13","N","48","30","C3","Euc","0.677","0.819","0.494"
"13","N","44","60","C3","Euc","0.794","0.834","0.733"
"13","N","54","15","C3","Euc","0.21","0.823","0.283"
"13","L","44","30","C3","Euc","0.797","0.829","0.562"
"13","M","48","60","C3","Euc","0.212","0.811","0"
"13","N","30","30","C3","Euc","0.818","0.845","0.807"
"13","H","30","15","C3","Euc","0.811","0.799","0.777"
"13","H","52","30","C3","Euc","0.177","0.823","0.067"
"13","M","52","15","C3","Euc","0.173","0.82","0.224"
"13","L","44","5","C3","Euc","0.855","0.82","0.726"
"13","L","58","5","C3","Euc","0","0.825","0.318"
"13","L","54","15","C3","Euc","0.251","0.824","0.163"
"13","L","52","5","C3","Euc","0.463","0.856","0.368"
"13","L","48","5","C3","Euc","0.709","0.857","0.677"
"13","L","48","15","C3","Euc","0.478","0.882","0.394"
"13","M","52","5","C3","Euc","0.374","0.817","0.094"
"13","N","54","5","C3","Euc","0.526","0.832","0.579"
"13","L","52","15","C3","Euc","0.306","0.847","0.093"
"13","M","52","60","C3","Euc","0.089","0.831","0"
"13","M","52","30","C3","Euc","0.116","0.814","0.065"
"13","H","30","30","C3","Euc","0.794","0.81","0.739"
"13","H","52","5","C3","Euc","0.073","0.823","0.188"
"13","M","30","15","C3","Euc","0.826","0.824","0.827"
"13","L","54","5","C3","Euc","0.492","0.826","0.479"
"13","L","52","60","C3","Euc","0.147","0.87","0"
"13","L","52","30","C3","Euc","0","0.831","0.074"
"13","L","48","60","C3","Euc","0.23","0.868","0"
"13","L","48","30","C3","Euc","0.477","0.861","0.272"
"13","L","44","60","C3","Euc","0.583","0.826","0.429"
"13","N","30","5","C3","Euc","0.85","0.859","0.814"
"13","N","58","5","C3","Euc","0.405","0.796","0.515"
"13","H","30","5","C3","Euc","0.839","0.809","0.758"
"13","H","48","30","C3","Euc","0","0.869","0.12"
"13","H","44","5","C3","Euc","0.715","0.876","0.543"
"13","H","42","30","C3","Euc","0.625","0.833","0.312"
"13","H","40","60","C3","Euc","0","0.829","0"
"13","H","48","5","C3","Euc","0.411","0.863","0.276"
"13","H","48","15","C3","Euc","0.138","0.868","0"
"13","H","44","15","C3","Euc","0.679","0.808","0.496"
"13","H","42","15","C3","Euc","0.803","0.815","0.462"
"13","H","30","60","C3","Euc","0.794","0.824","0.668"
"13","H","44","60","C3","Euc","0.447","0.874","0"
"13","H","44","30","C3","Euc","0.62","0.838","0.487"
"14","M","48","15","C4","Bean","0.246","0.833","0.238"
"14","L","40","60","C4","Bean","0.618","0.825","0.437"
"14","H","30","15","C4","Bean","0.771","0.753","0.696"
"14","M","42","15","C4","Bean","0.415","0.827","0.301"
"14","M","44","15","C4","Bean","0.154","0.835","0.247"
"14","N","48","5","C4","Bean","0.523","0.805","0.589"
"14","M","48","30","C4","Bean","0","0.801","0"
"14","L","30","5","C4","Bean","0.791","0.8","0.766"
"14","H","30","30","C4","Bean","0.785","0.796","0.751"
"14","M","44","30","C4","Bean","0.312","0.828","0.134"
"14","M","42","30","C4","Bean","0.326","0.805","0.168"
"14","L","30","60","C4","Bean","0.776","0.799","0.734"
"14","N","48","60","C4","Bean","0.25","0.805","0.098"
"14","L","42","15","C4","Bean","0.6","0.785",NA
"14","N","52","15","C4","Bean","0.097","0.825","0.51"
"14","L","42","30","C4","Bean","0.47","0.822","0.32"
"14","M","44","5","C4","Bean","0.457","0.835","0.446"
"14","L","30","15","C4","Bean","0.832","0.802","0.778"
"14","N","52","5","C4","Bean","0.494","0.823","0.637"
"14","M","48","5","C4","Bean","0.311","0.802","0.38"
"14","H","48","60","C4","Bean","0","0.791","0"
"14","N","30","60","C4","Bean","0.781","0.782","0.753"
"14","H","44","30","C4","Bean","0.276","0.812","0.296"
"14","M","30","30","C4","Bean","0.862","0.851","0.853"
"14","H","52","15","C4","Bean","0","0.805","0"
"14","H","30","5","C4","Bean","0.831","0.783","0.747"
"14","H","54","5","C4","Bean","0","0.803","0"
"14","N","44","5","C4","Bean","0.746","0.808","0.715"
"14","M","30","60","C4","Bean","0.844","0.831","0.771"
"14","N","52","60","C4","Bean","0","0.823","0.214"
"14","N","52","30","C4","Bean","0","0.835","0"
"14","L","44","15","C4","Bean","0.208","0.796","0.319"
"14","H","44","5","C4","Bean","0.363","0.833","0.439"
