"","AOI","Light","Temp","Time","Cell","Species","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample1","unique_sample","Species_sample"
"387",13,"Moderate",48,5,"C3","Eucalyptus pauciflora",0.563,0.818,0.372,0.688264058679707,5,63,"Eucalyptus pauciflora_63"
"388",13,"Moderate",54,5,"C3","Eucalyptus pauciflora",0.353,0.826,0.427,0.427360774818402,5,63,"Eucalyptus pauciflora_63"
"389",13,"Low",30,30,"C3","Eucalyptus pauciflora",0.843,0.81,0.807,1,5,62,"Eucalyptus pauciflora_62"
"390",13,"Moderate",30,60,"C3","Eucalyptus pauciflora",0.8,0.817,0.747,0.979192166462668,5,63,"Eucalyptus pauciflora_63"
"391",13,"Moderate",58,5,"C3","Eucalyptus pauciflora",0,0.797,0,0,5,63,"Eucalyptus pauciflora_63"
"392",13,"None",52,60,"C3","Eucalyptus pauciflora",0.204,0.85,0.417,0.24,5,64,"Eucalyptus pauciflora_64"
"393",13,"Moderate",44,60,"C3","Eucalyptus pauciflora",0.396,0.874,0,0.453089244851259,5,63,"Eucalyptus pauciflora_63"
"394",13,"Moderate",30,5,"C3","Eucalyptus pauciflora",0.824,0.846,0.834,0.973995271867612,5,63,"Eucalyptus pauciflora_63"
"395",13,"Low",44,15,"C3","Eucalyptus pauciflora",0.702,0.803,0.607,0.874221668742217,5,62,"Eucalyptus pauciflora_62"
"396",13,"None",30,15,"C3","Eucalyptus pauciflora",0.831,0.84,0.834,0.989285714285714,5,64,"Eucalyptus pauciflora_64"
"397",13,"Moderate",40,60,"C3","Eucalyptus pauciflora",0.77,0.863,0.552,0.892236384704519,5,63,"Eucalyptus pauciflora_63"
"398",13,"None",48,30,"C3","Eucalyptus pauciflora",0.677,0.819,0.494,0.826617826617827,5,64,"Eucalyptus pauciflora_64"
"399",13,"None",44,60,"C3","Eucalyptus pauciflora",0.794,0.834,0.733,0.952038369304556,5,64,"Eucalyptus pauciflora_64"
"400",13,"None",54,15,"C3","Eucalyptus pauciflora",0.21,0.823,0.283,0.255164034021871,5,64,"Eucalyptus pauciflora_64"
