unique_sample,response_type,threshold,ctmax_1h,ctmax_1m,z_1h,z_1m,r_squared_1h,r_squared_1m,valid_fit,issues
37,fvfm_io,T10,36.7620231825352,41.06871630231023,-2.422006068857107,-2.422006068857107,0.9992622853995078,0.9992622853995078,TRUE,NA
38,fvfm_io,T10,38.3802731637591,47.94124456675142,-5.376916840414733,-5.376916840414733,0.9930399504565207,0.9930399504565207,TRUE,NA
39,fvfm_io,T10,38.64143754705088,47.305532928134284,-4.87253003883336,-4.87253003883336,0.9906706545697856,0.9906706545697855,TRUE,NA
40,fvfm_io,T10,35.12777878209043,43.869198401149006,-4.91601578728051,-4.916015787280511,0.994656578548671,0.994656578548671,TRUE,NA
41,fvfm_io,T10,38.57942039931844,46.77991000119847,-4.611806560387226,-4.611806560387227,0.9981235757785727,0.9981235757785727,TRUE,NA
42,fvfm_io,T10,39.10100194575242,45.43594133083688,-3.562654967465599,-3.5626549674656,0.9962687497541629,0.9962687497541629,TRUE,NA
43,fvfm_io,T10,35.17282188356299,44.343512970587476,-5.157430272056931,-5.157430272056931,0.9943308029021464,0.9943308029021464,TRUE,NA
44,fvfm_io,T10,36.96222442211174,46.20829952712354,-5.199824875986747,-5.199824875986747,0.9759889351822919,0.9759889351822919,TRUE,NA
45,fvfm_io,T10,35.77850841526689,49.662423767639616,-7.808062080982828,-7.808062080982828,0.9407163084415104,0.9407163084415103,TRUE,NA
46,fvfm_io,T10,39.25343748471548,52.098657074255215,-7.223918430318192,-7.223918430318192,0.9015340664430173,0.9015340664430171,TRUE,NA
47,fvfm_io,T10,34.85850060420515,47.20703864554982,-6.944593739526055,-6.944593739526055,0.977494239336597,0.9774942393365967,TRUE,NA
48,fvfm_io,T10,34.699032706958775,42.8382564172001,-4.577351734553097,-4.5773517345530985,0.9846415671924695,0.9846415671924695,TRUE,NA
1,fvfm_absolute,T0.3,41.45292082281763,48.594338805342964,-4.016203897719354,-4.016203897719356,0.998947247915811,0.998947247915811,TRUE,NA
2,fvfm_absolute,T0.3,53.17922204771287,54.139280360790416,-0.5399193757395007,-0.5399193757395007,0.5891100696300741,0.5891100696300741,TRUE,NA
3,fvfm_absolute,T0.3,40.20995711846333,48.41615324582075,-4.6150158067751015,-4.615015806775102,0.998915807722817,0.998915807722817,TRUE,NA
4,fvfm_absolute,T0.3,40.45451771654797,47.65816263238039,-4.0511991959503995,-4.0511991959504,0.9966437622654686,0.9966437622654686,TRUE,NA
5,fvfm_absolute,T0.3,46.413008974702244,52.45493595250173,-3.3978701060980683,-3.3978701060980683,0.9988988131020741,0.9988988131020741,TRUE,NA
6,fvfm_absolute,T0.3,44.825578449573506,49.175751547193336,-2.446458419485553,-2.446458419485553,0.9995503915541885,0.9995503915541885,TRUE,NA
7,fvfm_absolute,T0.3,50.31295876252257,56.454808759815485,-3.4540649992332115,-3.4540649992332115,0.9814462112002069,0.981446211200207,TRUE,NA
8,fvfm_absolute,T0.3,52.44373437210599,53.565000910740736,-0.6305799567909869,-0.630579956790987,0.7290181089809595,0.7290181089809595,TRUE,NA
