unique_sample,response_type,threshold,Time,temperature,temperature_sd
2,fvfm_io,T50,30,42.998922081370594,0.8131656130242194
2,fvfm_io,T50,60,41.681105304286056,1.203932709943241
3,fvfm_io,T50,5,44.796803547691866,2.0462508660231187
3,fvfm_io,T50,15,43.187029167179844,1.1512551955642623
3,fvfm_io,T50,30,41.68841628227936,1.7088366286929075
3,fvfm_io,T50,60,40.44984186694911,1.587896322948822
4,fvfm_io,T50,5,51.53302730460413,1.5882680361285892
4,fvfm_io,T50,15,47.729058293439984,0.8436730834741578
4,fvfm_io,T50,30,46.00659639778905,0.834734044805348
4,fvfm_io,T50,60,44.47357454042723,1.2150379755546992
5,fvfm_io,T50,5,42.921125148390225,1.6897651914894996
5,fvfm_io,T50,15,42.177707755490566,0.8946131363472677
5,fvfm_io,T50,30,40.12526270768195,1.5814800690816342
5,fvfm_io,T50,60,38.81944592858728,4.521671241321784
6,fvfm_io,T50,5,46.890721030405146,2.1873707793408794
6,fvfm_io,T50,15,43.97005901464262,0.9989686737992972
6,fvfm_io,T50,30,42.333862213546475,1.1531411459929108
6,fvfm_io,T50,60,41.073864538237004,1.4358127320663672
7,fvfm_io,T50,5,45.085883068207565,2.2059408559727265
7,fvfm_io,T50,15,42.70914910382237,0.876692047895162
7,fvfm_io,T50,30,39.569317502146006,1.579594427058413
7,fvfm_io,T50,60,38.762098578432976,1.6392657653069655
8,fvfm_io,T50,5,50.26028919380382,1.4417331669537934
8,fvfm_io,T50,15,47.691194079111106,0.9414496085430258
8,fvfm_io,T50,30,46.208509338419084,1.1034150846163668
8,fvfm_io,T50,60,44.54000223827638,2.018096854126119
9,fvfm_io,T50,5,50.00860042401837,1.4001547070157947
9,fvfm_io,T50,15,47.173445846948184,0.757298450800063
9,fvfm_io,T50,30,45.81745404283988,0.625312111358115
9,fvfm_io,T50,60,44.45150641303046,1.1388687558341686
10,fvfm_io,T50,5,54.59100023495335,2.2343080481573234
10,fvfm_io,T50,15,50.50952700097497,0.48432392216950615
10,fvfm_io,T50,30,48.87230827482059,0.45257588263108983
10,fvfm_io,T50,60,47.286038039004424,0.583449881285394
11,fvfm_io,T50,5,50.700443649216446,0.8799749290645362
11,fvfm_io,T50,15,47.98182348252142,0.3434257352868996
11,fvfm_io,T50,30,46.440824899250515,0.32410323665694785
11,fvfm_io,T50,60,45.11893492639347,0.5555402605780699
12,fvfm_io,T50,5,55.71352507515102,3.3687496542942457
12,fvfm_io,T50,15,51.795317776258734,1.551849838191652
12,fvfm_io,T50,30,50.395034251045395,1.4183456857380972
12,fvfm_io,T50,60,49.34644397737346,1.3210574859277542
13,fvfm_io,T50,5,49.874086713573966,1.4536616540381464
13,fvfm_io,T50,15,47.558223439994684,0.7393077027354628
13,fvfm_io,T50,30,46.1587089373776,0.7876157643115801
13,fvfm_io,T50,60,44.58242045192168,1.809338786789171
14,fvfm_io,T50,5,53.4812259383923,2.162560861838858
14,fvfm_io,T50,15,50.0937792406117,0.6512513372250199
14,fvfm_io,T50,30,48.512537483749995,0.7675011935417668
14,fvfm_io,T50,60,46.90713523294453,1.3299044945966587
15,fvfm_io,T50,5,50.7357031928785,1.3366583711820996
15,fvfm_io,T50,15,48.01948079143154,0.4650149692952931
15,fvfm_io,T50,30,46.977107544342935,0.5240585358316046
15,fvfm_io,T50,60,46.30910610993632,0.6289675707016259
16,fvfm_io,T50,5,54.540360026569594,2.7604714159698456
16,fvfm_io,T50,15,51.824488921615384,1.2839220035934265
16,fvfm_io,T50,30,50.48170979027303,1.6769997997405892
16,fvfm_io,T50,60,48.99483545462339,2.093017958591603
17,fvfm_io,T50,5,45.43437577750587,0.8936906101560889
17,fvfm_io,T50,15,43.849376413189276,0.6939750168667125
17,fvfm_io,T50,30,42.39209900075973,0.9342714494516406
17,fvfm_io,T50,60,40.260248947404946,2.0365081709216075
18,fvfm_io,T50,5,49.017787168031674,1.972913731715213
18,fvfm_io,T50,15,44.45012973157089,1.0516474394401096
18,fvfm_io,T50,30,42.40172900425334,1.1799397402185638
18,fvfm_io,T50,60,41.09098732757027,1.3281527784344582
19,fvfm_io,T50,5,47.847586698559645,1.7610399966322092
19,fvfm_io,T50,15,43.381343051819115,0.88196446362511
19,fvfm_io,T50,30,40.390496431702395,1.3279379962825455
19,fvfm_io,T50,60,38.965995197473575,1.423494290883775
20,fvfm_io,T50,5,50.96013619599322,3.1159816203780704
20,fvfm_io,T50,15,47.30486420730493,0.985416569107735
20,fvfm_io,T50,30,45.689766799186835,1.0720449150291087
20,fvfm_io,T50,60,43.97487651787292,2.0571060139756323
21,fvfm_io,T50,5,52.898743971159554,0.7681918664432495
21,fvfm_io,T50,15,51.19674637313777,1.1815203703753137
